HIP,SIMBAD,Vmag,e_Vmag,B-V,e_B-V,Nplt,SpType,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H],Mass,e_Mass,Radius,e_Radius,Age,e_Age,SMWmed,e_SMW,logRHKmed,e_logRHK
HIP10175,,,,,,,,,,,,,,,,,,,,,,,
HIP101905,,,,,,,,,,,,,,,,,,,,,,,
HIP102040,,,,,,,,,,,,,,,,,,,,,,,
HIP102152,HD 197027,9.155,0.01,0.642,0.03,0,G4,5694,28.0,4.09,0.04,0.07,0.02,0.982,0.016,1.085,0.021,7.767,1.799,0.1611,0.0011,-5.0018,0.0067
HIP10303,,,,,,,,,,,,,,,,,,,,,,,
HIP103983,,,,,,,,,,,,,,,,,,,,,,,
HIP104045,HD 200633,8.339,0.01,0.639,0.004,0,G1,5853,22.0,4.33,0.03,0.05,0.02,1.053,0.017,1.005,0.015,2.554,1.148,0.162,9.0E-4,-4.9937,0.0057
HIP105184,,,,,,,,,,,,,,,,,,,,,,,
HIP108158,HD 207700,7.414,0.01,0.69,0.005,0,G5,5666,18.0,4.19,0.03,0.04,0.01,0.964,0.012,1.202,0.004,10.274,2.545,0.1652,7.0E-4,-5.0087,0.0043
HIP108468,HD 208704,7.173,0.01,0.645,0.009,0,G1,5826,11.0,4.21,0.01,-0.09,0.01,0.966,0.012,1.129,0.025,8.379,1.706,0.1713,7.0E-4,-4.9441,0.0037
HIP109110,NT Aqr,7.563,0.01,0.671,0.015,0,G1,5826,36.0,4.28,0.06,0.16,0.03,1.086,0.019,1.001,0.006,0.914,0.862,0.3687,0.0012,-4.4245,0.0019
HIP109821,HD 210918,6.232,0.01,0.649,0.006,0,G2,5755,12.0,4.21,0.02,-0.09,0.01,0.938,0.01,1.147,0.008,10.106,1.866,0.1604,6.0E-4,-5.0118,0.0037
HIP114328,,,,,,,,,,,,,,,,,,,,,,,
HIP114615,,,,,,,,,,,,,,,,,,,,,,,
HIP115577,HD 220507,7.575,0.01,0.687,0.001,0,G4,5698,17.0,4.17,0.03,0.01,0.01,0.973,0.01,1.246,0.024,10.33,1.739,0.1542,7.0E-4,-5.0751,0.0049
HIP116906,HD 222582,7.66,0.01,0.641,0.002,1,G2,5779,16.0,4.22,0.03,-0.01,0.01,0.983,0.01,1.124,0.026,8.085,1.48,0.1631,7.0E-4,-4.9887,0.0042
HIP117367,,,,,,,,,,,,,,,,,,,,,,,
HIP118115,,,,,,,,,,,,,,,,,,,,,,,
HIP11915,HD 16008,8.606,0.01,0.644,0.003,0,G2,5770,14.0,4.33,0.03,-0.06,0.01,0.986,0.013,0.933,0.021,3.017,0.836,0.1924,0.0011,-4.841,0.0049
HIP14501,HD 19467,6.983,0.01,0.65,0.01,0,G3,5720,10.0,4.18,0.01,-0.14,0.01,0.911,0.007,1.202,0.0,11.882,2.564,0.161,6.0E-4,-5.0089,0.004
HIP14614,HD 19518,7.789,0.01,0.62,0.015,0,G2,5765,19.0,4.25,0.03,-0.07,0.02,0.957,0.013,1.001,0.008,6.874,1.237,0.1798,8.0E-4,-4.8785,0.0041
HIP15527,HD 20782,7.358,0.01,0.629,0.006,1,G2,5774,14.0,4.22,0.01,-0.06,0.01,0.957,0.009,1.096,0.0,8.74,1.46,0.1759,7.0E-4,-4.9066,0.0036
HIP18844,,,,,,,,,,,,,,,,,,,,,,,
HIP1954,HD 2071,7.269,0.01,0.68,0.007,0,G3,5719,14.0,4.35,0.02,-0.09,0.01,0.948,0.012,0.917,0.014,4.772,1.157,0.1808,7.0E-4,-4.9208,0.0036
HIP19911,,,,,,,,,,,,,,,,,,,,,,,
HIP22263,,,,,,,,,,,,,,,,,,,,,,,
HIP25670,,,,,,,,,,,,,,,,,,,,,,,
HIP28066,,,,,,,,,,,,,,,,,,,,,,,
HIP29432,,,,,,,,,,,,,,,,,,,,,,,
HIP29525,HD 42807,6.21,0.01,0.584,0.005,0,G3,5735,30.0,4.33,0.06,0.05,0.02,1.01,0.022,0.985,0.021,3.682,1.681,0.3411,0.0018,-4.3901,0.0032
HIP30037,,,,,,,,,,,,,,,,,,,,,,,
HIP30158,,,,,,,,,,,,,,,,,,,,,,,
HIP30476,HD 45289,6.669,0.01,0.673,0.004,0,G3,5717,18.0,4.2,0.01,-0.02,0.01,0.957,0.009,1.202,0.003,10.146,2.238,0.1575,6.0E-4,-5.0463,0.004
HIP30502,HD 45346,8.653,0.01,0.658,0.016,0,G3,5733,26.0,4.18,0.06,0.02,0.02,0.991,0.018,1.0,0.008,5.176,1.37,0.1656,9.0E-4,-4.9868,0.0055
HIP3203,,,,,,,,,,,,,,,,,,,,,,,
HIP33094,HD 50806,6.059,0.01,0.711,0.005,0,G5,5633,15.0,4.02,0.03,0.03,0.01,1.024,0.013,1.514,0.0,9.532,2.724,0.1491,6.0E-4,-5.148,0.0043
HIP34511,HD 54351,7.934,0.01,0.607,0.011,0,G1,5864,50.0,4.26,0.07,0.06,0.04,1.057,0.025,0.985,0.022,1.29,1.27,0.1692,8.0E-4,-4.9237,0.0048
HIP36512,HD 59711,7.729,0.01,0.637,0.011,0,G3,5722,13.0,4.33,0.02,-0.12,0.01,0.925,0.011,0.955,0.0,7.092,1.266,0.1726,8.0E-4,-4.9303,0.0041
HIP36515,,,,,,,,,,,,,,,,,,,,,,,
HIP38072,,,,,,,,,,,,,,,,,,,,,,,
HIP40133,,,,,,,,,,,,,,,,,,,,,,,
HIP41317,HD 71334,7.811,0.01,0.643,0.027,0,G4,5694,13.0,4.26,0.03,-0.09,0.01,0.916,0.01,1.0,0.003,9.164,1.559,0.1641,7.0E-4,-4.9848,0.0045
HIP42333,,,,,,,,,,,,,,,,,,,,,,,
HIP43297,,,,,,,,,,,,,,,,,,,,,,,
HIP44713,HD 78429,7.307,0.01,0.663,0.004,0,G2,5760,19.0,4.19,0.02,0.09,0.01,1.024,0.01,1.202,0.002,7.671,1.662,0.1723,7.0E-4,-4.9524,0.0037
HIP44935,HD 78534,8.6,0.01,0.621,0.022,0,G2,5754,38.0,4.05,0.08,0.19,0.03,1.058,0.02,1.145,0.021,5.689,1.487,0.1609,0.001,-4.9859,0.0062
HIP44997,HD 78660,8.318,0.01,0.657,0.013,0,G2,5752,16.0,4.31,0.04,0.05,0.01,1.024,0.013,0.955,0.003,2.379,0.943,0.1729,9.0E-4,-4.9446,0.0049
HIP4909,HD 6204,8.503,0.01,0.643,0.024,0,G1,5881,32.0,4.28,0.05,0.14,0.02,1.071,0.005,0.955,0.0,0.234,0.161,0.2977,0.0014,-4.5274,0.0029
HIP49756,,,,,,,,,,,,,,,,,,,,,,,
HIP5301,HD 6718,8.444,0.01,0.66,0.009,1,G3,5723,15.0,4.31,0.02,-0.07,0.01,0.946,0.011,0.971,0.021,6.632,1.208,0.1675,0.0013,-4.9767,0.0075
HIP54102,HD 96116,8.636,0.01,0.654,0.018,0,G1,5832,21.0,4.35,0.03,-0.01,0.02,1.034,0.018,0.955,0.003,1.547,1.102,0.2361,0.0013,-4.692,0.004
HIP54287,HD 96423,7.228,0.01,0.679,0.002,0,G3,5711,18.0,4.23,0.02,0.1,0.01,1.003,0.01,1.079,0.024,6.688,1.214,0.1577,7.0E-4,-5.0481,0.0042
HIP54582,HD 97037,6.789,0.01,0.606,0.002,0,G1,5883,14.0,4.15,0.02,-0.07,0.01,1.003,0.009,1.247,0.023,7.931,1.593,0.1595,6.0E-4,-4.9806,0.0039
HIP55409,HD 98649,7.985,0.01,0.653,0.003,1,G3,5714,22.0,4.25,0.05,-0.03,0.02,0.959,0.017,0.998,0.009,6.579,1.546,0.1666,6.0E-4,-4.9765,0.0036
HIP62039,,,,,,,,,,,,,,,,,,,,,,,
HIP6407,,,,,,,,,,,,,,,,,,,,,,,
HIP64150,,,,,,,,,,,,,,,,,,,,,,,
HIP64673,,,,,,,,,,,,,,,,,,,,,,,
HIP64713,HD 115169,9.254,0.01,0.662,0.029,0,G2,5765,21.0,4.19,0.04,0.03,0.02,1.009,0.015,0.997,0.011,4.066,1.112,0.167,0.0011,-4.9811,0.0062
HIP65708,,,,,,,,,,,,,,,,,,,,,,,
HIP67620,,,,,,,,,,,,,,,,,,,,,,,
HIP68468,,,,,,,,,,,,,,,,,,,,,,,
HIP69645,,,,,,,,,,,,,,,,,,,,,,,
HIP72043,,,,,,,,,,,,,,,,,,,,,,,
HIP73241,,,,,,,,,,,,,,,,,,,,,,,
HIP73815,HD 133600,8.123,0.01,0.636,0.005,0,G2,5761,18.0,4.09,0.03,0.08,0.02,1.017,0.012,1.182,0.026,7.645,1.573,0.1619,8.0E-4,-4.9921,0.0052
HIP74389,HD 134664,7.653,0.01,0.624,0.012,0,G1,5865,19.0,4.34,0.02,0.1,0.01,1.072,0.012,1.047,0.003,2.907,0.966,0.1894,7.0E-4,-4.8363,0.0033
HIP74432,,,,,,,,,,,,,,,,,,,,,,,
HIP7585,HD 9986,6.763,0.01,0.646,0.008,0,G1,5830,25.0,4.24,0.03,0.18,0.02,1.1,0.016,1.0,0.004,0.703,0.626,0.1815,7.0E-4,-4.8922,0.0033
HIP76114,,,,,,,,,,,,,,,,,,,,,,,
HIP77052,psi Ser,5.862,0.01,0.685,0.002,0,G4,5688,16.0,4.3,0.03,0.07,0.01,1.015,0.014,0.932,0.021,1.746,1.045,0.214,6.0E-4,-4.7885,0.0022
HIP77883,HD 142331,8.711,0.01,0.669,0.024,0,G2,5806,138.0,4.78,0.32,0.03,0.1,0.999,0.052,1.003,0.039,3.545,3.541,0.1664,0.001,-4.9887,0.006
HIP79578,,,,,,,,,,,,,,,,,,,,,,,
HIP79672,18 Sco,5.429,0.01,0.63,0.009,0,G2,5806,15.0,4.26,0.03,0.07,0.01,1.033,0.012,1.046,0.008,4.222,0.881,0.1707,6.0E-4,-4.9354,0.0032
HIP79715,HD 145927,8.342,0.01,0.65,0.019,0,G2,5819,16.0,4.25,0.02,-0.03,0.01,0.991,0.012,1.096,0.005,7.079,1.289,0.1643,9.0E-4,-4.9888,0.0057
HIP81746,,,,,,,,,,,,,,,,,,,,,,,
HIP83276,,,,,,,,,,,,,,,,,,,,,,,
HIP85042,HD 157347,6.252,0.01,0.67,0.001,0,G4,5676,16.0,4.27,0.03,0.02,0.01,0.959,0.01,1.047,0.002,8.241,1.644,0.1613,6.0E-4,-5.0204,0.0038
HIP8507,,,,,,,,,,,,,,,,,,,,,,,
HIP87769,,,,,,,,,,,,,,,,,,,,,,,
HIP89650,HD 167060,8.916,0.01,0.662,0.022,0,G1,5854,68.0,4.13,0.1,0.18,0.05,1.093,0.034,1.064,0.026,2.032,1.881,0.162,0.0011,-5.0107,0.0068
HIP9349,,,,,,,,,,,,,,,,,,,,,,,
HIP95962,HD 183658,7.158,0.01,0.6,0.015,0,G2,5803,17.0,4.24,0.02,0.03,0.01,1.01,0.012,1.097,0.006,6.619,1.43,0.165,7.0E-4,-4.941,0.0043
HIP96160,,,,,,,,,,,,,,,,,,,,,,,
